Srial_No.,Symbol,Company Name,"Market Capitalisation in Lakh"
990,KCPSUGIND,KCP Sugar and Industries Corporation Limited,"14,853",
991,HITECHGEAR,The Hi-Tech Gears Limited,"14,789",
992,BCG,Brightcom Group Limited,"14,764",
993,EXPLEOSOL,Expleo Solutions Limited,"14,717",
994,RAMKY,Ramky Infrastructure Limited,"14,670",
995,TCPLPACK,TCPL Packaging Limited,"14,460",
996,MBAPL,Madhya Bharat Agro Products Limited,"14,404",
997,SANGAMIND,Sangam (India) Limited,"14,389",
998,CHEMFAB,Chemfab Alkalis Limited,"14,057",
999,GOKEX,Gokaldas Exports Limited,"13,938",
1000,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,"13,912",
1001,HPL,HPL Electric & Power Limited,"13,857",
1002,KHADIM,Khadim India Limited,"13,801",
1003,ORIENTABRA,Orient Abrasives Limited,"13,699",
1004,OPTIEMUS,Optiemus Infracom Limited,"13,687",
1005,KDDL,KDDL Limited,"13,646",
1006,TIPSINDLTD,TIPS Industries Limited,"13,596",
1007,SAKSOFT,Saksoft Limited,"13,581",
1008,SCHAND,S Chand And Company Limited,"13,570",
1009,ROSSELLIND,Rossell India Limited,"13,559",
1010,SHEMAROO,Shemaroo Entertainment Limited,"13,550",
1011,KABRAEXTRU,Kabra Extrusion Technik Limited,"13,511",
1012,DPABHUSHAN,D. P. Abhushan Limited,"13,486",
1013,SORILINFRA,SORIL Infra Resources Limited,"13,482",
1014,GSCLCEMENT,Gujarat Sidhee Cement Limited,"13,461",
1015,TBZ,Tribhovandas Bhimji Zaveri Limited,"13,413",
1016,OMMETALS,OM Metals Infraprojects Limited,"13,386",
1017,ASIANHOTNR,Asian Hotels (North) Limited,"13,374",
1018,JINDRILL,Jindal Drilling And Industries Limited,"13,273",
1019,SHRENIK,Shrenik Limited,"13,260",
1020,VIMTALABS,Vimta Labs Limited,"13,198",
1021,IITL,Industrial Investment Trust Limited,"13,097",
1022,VASCONEQ,Vascon Engineers Limited,"13,093",
1023,DYNPRO,Dynemic Products Limited,"13,079",
1024,SILVERTUC,Silver Touch Technologies Limited,"13,061",
1025,KREBSBIO,Krebs Biochemicals and Industries Limited,"12,930",
1026,PIONDIST,Pioneer Distilleries Limited,"12,913",
1027,SANGINITA,Sanginita Chemicals Limited,"12,735",
1028,SWELECTES,Swelect Energy Systems Limited,"12,665",
1029,KILITCH,Kilitch Drugs (India) Limited,"12,633",
1030,SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited,"12,573",
1031,ASTRON,Astron Paper & Board Mill Limited,"12,532",
1032,BANSWRAS,Banswara Syntex Limited,"12,469",
1033,VLSFINANCE,VLS Finance Limited,"12,469",
1034,JAYNECOIND,Jayaswal Neco Industries Limited,"12,453",
1035,AKSHARCHEM,AksharChem India Limited,"12,443",
1036,KAMDHENU,Kamdhenu Limited,"12,368",
1037,DBREALTY,D B Realty Limited,"12,285",
1038,EKC,Everest Kanto Cylinder Limited,"12,231",
1039,PODDARMENT,Poddar Pigments Limited,"12,212",
1040,PROZONINTU,Prozone Intu Properties Limited,"12,208",
1041,UGARSUGAR,The Ugar Sugar Works Limited,"12,206",
1042,KRISHANA,Krishana Phoschem Limited,"12,201",
1043,HCL-INSYS,HCL Infosystems Limited,"12,016",
1044,PONNIERODE,Ponni Sugars (Erode) Limited,"11,883",
1045,AIRAN,Airan Limited,"11,814",
1046,DANGEE,Dangee Dums Limited,"11,805",
1047,JUBLINDS,Jubilant Industries Limited,"11,795",
1048,JASH,Jash Engineering Limited,"11,570",
1049,PARACABLES,Paramount Communications Limited,"11,424",
1050,EMKAYTOOLS,Emkay Taps and Cutting Tools Limited,"11,402",
1051,RELCAPITAL,Reliance Capital Limited,"11,372",
1052,GOACARBON,Goa Carbon Limited,"11,366",
1053,PRAXIS,Praxis Home Retail Limited,"11,344",
1054,DRSDILIP,DRS Dilip Roadlines Limited,"11,304",
1055,ROHLTD,Royal Orchid Hotels Limited,"11,258",
1056,GOKULAGRO,Gokul Agro Resources Limited,"11,145",
1057,GOKUL,Gokul Refoils and Solvent Limited,"11,079",
1058,RNAVAL,Reliance Naval and Engineering Limited,"11,064",
1059,SHIVATEX,Shiva Texyarn Limited,"11,064",
1060,LASA,Lasa Supergenerics Limited,"11,063",
1061,EIMCOELECO,Eimco Elecon (India) Limited,"11,055",
1062,ELECTHERM,Electrotherm (India) Limited,"11,054",
1063,MITTAL,Mittal Life Style Limited,"11,045",
1064,STARPAPER,Star Paper Mills Limited,"11,012",
1065,KOPRAN,Kopran Limited,"10,986",
1066,BASML,Bannari Amman Spinning Mills Limited,"10,933",
1067,SARLAPOLY,Sarla Performance Fibers Limited,"10,897",
1068,GREENPOWER,Orient Green Power Company Limited,"10,885",
1069,BIRLAMONEY,Aditya Birla Money Limited,"10,866",
1070,RUSHIL,Rushil Decor Limited,"10,855",
1071,DONEAR,Donear Industries Limited,"10,842",
1072,ESSARSHPNG,Essar Shipping Limited,"10,763",
1073,SPECIALITY,Speciality Restaurants Limited,"10,706",
1074,AXISCADES,AXISCADES Engineering Technologies Limited,"10,629",
1075,BLKASHYAP,B. L. Kashyap and Sons Limited,"10,596",
1076,PDMJEPAPER,Pudumjee Paper Products Limited,"10,492",
1077,SIMPLEXINF,Simplex Infrastructures Limited,"10,429",
1078,SEYAIND,Seya Industries Limited,"10,406",
1079,KANORICHEM,Kanoria Chemicals & Industries Limited,"10,290",
1080,KOTHARIPRO,Kothari Products Limited,"10,236",
1081,APOLSINHOT,Apollo Sindoori Hotels Limited,"10,194",
1082,SELAN,Selan Exploration Technology Limited,"10,192",
1083,INVENTURE,Inventure Growth & Securities Limited,"10,164",
1084,PODDARHOUS,Poddar Housing and Development Limited,"10,117",
1085,GULPOLY,Gulshan Polyols Limited,"9,993",
1086,TIL,TIL Limited,"9,990",
1087,TCIDEVELOP,TCI Developers Limited,"9,920",
1088,TVSELECT,TVS Electronics Limited,"9,903",
1089,NILAINFRA,Nila Infrastructures Limited,"9,847",
1090,MAZDA,Mazda Limited,"9,802",
1091,HARRMALAYA,Harrisons  Malayalam Limited,"9,800",
1092,INDSWFTLAB,Ind-Swift Laboratories Limited,"9,786",
1093,BIRLACABLE,Birla Cable Limited,"9,750",
1094,SALASAR,Salasar Techno Engineering Limited,"9,745",
1095,INDTERRAIN,Indian Terrain Fashions Limited,"9,732",
1096,WALCHANNAG,Walchandnagar Industries Limited,"9,727",
1097,MOLDTECH,Mold-Tek Technologies Limited,"9,686",
1098,UNITEDTEA,The United Nilgiri Tea Estates Company Limited,"9,638",
1099,SHIVAMAUTO,Shivam Autotech Limited,"9,600",
1100,SALZERELEC,Salzer Electronics Limited,"9,574",
1101,STEELXIND,STEEL EXCHANGE INDIA LIMITED,"9,536",
1102,BRFL,Bombay Rayon Fashions Limited,"9,524",
1103,APOLLO,Apollo Micro Systems Limited,"9,375",
1104,NAHARSPING,Nahar Spinning Mills Limited,"9,341",
1105,BABAFOOD,Baba Agro Food Limited,"9,263",
1106,MAGADSUGAR,Magadh Sugar & Energy Limited,"9,244",
1107,AURIONPRO,Aurionpro Solutions Limited,"9,234",
1108,GEECEE,GeeCee Ventures Limited,"9,233",
1109,MIRCELECTR,MIRC Electronics Limited,"9,123",
1110,CREATIVE,Creative Peripherals and Distribution Limited,"9,042",
1111,JPINFRATEC,Jaypee Infratech Limited,"9,028",
1112,ASAHISONG,Asahi Songwon Colors Limited,"9,020",
1113,20MICRONS,20 Microns Limited,"9,016",
1114,MAHASTEEL,Mahamaya Steel Industries Limited,"8,977",
1115,BIL,Bhartiya International Limited,"8,923",
1116,SHREYANIND,Shreyans Industries Limited,"8,903",
1117,JAYSREETEA,Jayshree Tea & Industries Limited,"8,894",
1118,MAWANASUG,Mawana Sugars Limited,"8,880",
1119,RANEENGINE,Rane Engine Valve Limited,"8,876",
1120,NITCO,Nitco Limited,"8,839",
1121,REVATHI,Revathi Equipment Limited,"8,756",
1122,GANESHHOUC,Ganesh Housing Corporation Limited,"8,738",
1123,SAKHTISUG,Sakthi Sugars Limited,"8,735",
1124,TALBROAUTO,Talbros Automotive Components Limited,"8,660",
1125,ARIHANTSUP,Arihant Superstructures Limited,"8,644",
1126,MGEL,Mangalam Global Enterprise Limited,"8,631",
1127,NAHARCAP,Nahar Capital and Financial Services Limited,"8,616",
1128,SINTERCOM,Sintercom India Limited,"8,604",
1129,BSHSL,Bombay Super Hybrid Seeds Limited,"8,488",
1130,SHREYAS,Shreyas Shipping & Logistics Limited,"8,487",
1131,KAKATCEM,Kakatiya Cement Sugar & Industries Limited,"8,485",
1132,SILINV,SIL Investments Limited,"8,471",
1133,HITECHCORP,Hitech Corporation Limited,"8,339",
1134,RUCHIRA,Ruchira Papers Limited,"8,306",
1135,CAPTRUST,Capital Trust Limited,"8,295",
1136,SMARTLINK,Smartlink Holdings Limited,"8,293",
1137,RKEC,RKEC Projects Limited,"8,277",
1138,JOCIL,Jocil Limited,"8,215",
1139,GRPLTD,GRP Limited,"8,214",
1140,ABAN,Aban Offshore Limited,"8,171",
1141,SKMEGGPROD,SKM Egg Products Export (India) Limited,"8,162",
1142,EROSMEDIA,Eros International Media Limited,"8,128",
1143,GENUSPAPER,Genus Paper & Boards Limited,"8,099",
1144,ZUARIGLOB,Zuari Global Limited,"8,067",
1145,INSPIRISYS,Inspirisys Solutions Limited,"8,042",
1146,MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,"8,016",
1147,SPECTRUM,Spectrum Electrical Industries Limited,"8,014",
1148,VIKASMCORP,Vikas Multicorp Limited,"7,962",
1149,ALPHAGEO,Alphageo (India) Limited,"7,946",
1150,WEALTH,Wealth First Portfolio Managers Limited,"7,927",
1151,VISHNU,Vishnu Chemicals Limited,"7,902",
1152,HITECH,Hi-Tech Pipes Limited,"7,872",
1153,AYMSYNTEX,AYM Syntex Limited,"7,871",
1154,CYBERTECH,Cybertech Systems And Software Limited,"7,842",
1155,DTIL,Dhunseri Tea & Industries Limited,"7,839",
1156,EMAMIREAL,Emami Realty Limited,"7,837",
1157,ORIENTBELL,Orient Bell Limited,"7,761",
1158,INDOTECH,Indo Tech Transformers Limited,"7,753",
1159,EMMBI,Emmbi Industries Limited,"7,739",
1160,SANWARIA,Sanwaria Consumer Limited,"7,729",
1161,PRIMESECU,Prime Securities Limited,"7,722",
1162,KAPSTON,Kapston Facilities Management Limited,"7,709",
1163,VINYLINDIA,Vinyl Chemicals (India) Limited,"7,637",
1164,GENESYS,Genesys International Corporation Limited,"7,552",
1165,UNIPLY,Uniply Industries Limited,"7,517",
1166,SETCO,Setco Automotive Limited,"7,491",
1167,INNOVANA,Innovana Thinklabs Limited,"7,488",
1168,SAKAR,Sakar Healthcare Limited,"7,473",
1169,DHUNINV,Dhunseri Investments Limited,"7,460",
1170,UMANGDAIRY,Umang Dairies Limited,"7,437",
1171,BALAXI,Balaxi Ventures Limited,"7,400",
1172,PILITA,PIL ITALICA LIFESTYLE LIMITED,"7,285",
1173,CONSOFINVT,Consolidated Finvest & Holdings Limited,"7,241",
1174,TRIL,Transformers And Rectifiers (India) Limited,"7,225",
1175,NDL,Nandan Denim Limited,"7,183",
1176,CEBBCO,Commercial Engineers & Body Builders Co Limited,"7,114",
1177,NAHARINDUS,Nahar Industrial Enterprises Limited,"7,111",
1178,STEL,Stel Holdings Limited,"7,105",
1179,DENORA,De Nora India Limited,"7,103",
1180,KOTARISUG,Kothari Sugars And Chemicals Limited,"7,087",
1181,SAKUMA,Sakuma Exports Limited,"7,038",
1182,DPWIRES,D P Wires Limited,"7,028",
1183,TRIGYN,Trigyn Technologies Limited,"7,019",
1184,RPPINFRA,R.P.P. Infra Projects Limited,"6,972",
1185,VERTOZ,Vertoz Advertising Limited,"6,943",
1186,ONWARDTEC,Onward Technologies Limited,"6,930",
1187,JAKHARIA,JAKHARIA FABRIC LIMITED,"6,909",
1188,BBTCL,B&B Triplewall Containers Limited,"6,871",
1189,KELLTONTEC,Kellton Tech Solutions Limited,"6,843",
1190,PENINLAND,Peninsula Land Limited,"6,840",
1191,XELPMOC,Xelpmoc Design And Tech Limited,"6,798",
1192,MRO-TEK,MRO-TEK Realty Limited,"6,792",
1193,PITTIENG,Pitti Engineering Limited,"6,779",
1194,ASPINWALL,Aspinwall and Company Limited,"6,763",
1195,MODIRUBBER,Modi Rubber Limited,"6,698",
1196,SUPERHOUSE,Superhouse Limited,"6,654",
1197,HDIL,Housing Development and Infrastructure Limited,"6,636",
1198,PREMEXPLN,Premier Explosives Limited,"6,613",
1199,DIGISPICE,DiGiSPICE Technologies Limited,"6,609",
1200,UVSL,Uttam Value Steels Limited,"6,605",
1201,IRISDOREME,Iris Clothings Limited,"6,526",
1202,CORALFINAC,Coral India Finance & Housing Limited,"6,459",
1203,WORTH,Worth Peripherals Limited,"6,458",
1204,SPLIL,SPL Industries Limited,"6,409",
1205,BHAGYAPROP,Bhagyanagar Properties Limited,"6,399",
1206,NAHARPOLY,Nahar Poly Films Limited,"6,393",
1207,SAGARDEEP,Sagardeep Alloys Limited,"6,368",
1208,HINDMOTORS,Hindustan Motors Limited,"6,364",
1209,EMKAY,Emkay Global Financial Services Limited,"6,339",
1210,KOTHARIPET,Kothari Petrochemicals Limited,"6,297",
1211,SKIL,SKIL Infrastructure Limited,"6,281",
1212,SUNDRMBRAK,Sundaram Brake Linings Limited,"6,262",
1213,UTTAMSTL,Uttam Galva Steels Limited,"6,259",
1214,ADSL,Allied Digital Services Limited,"6,192",
1215,TTL,T T Limited,"6,191",
1216,JBFIND,JBF Industries Limited,"6,181",
1217,ORIENTLTD,Orient Press Limited,"6,170",
1218,SHIVAUM,Shiv Aum Steels Limited,"6,120",
1219,SVLL,Shree Vasu Logistics Limited,"6,108",
1220,MAHICKRA,Mahickra Chemicals Limited,"6,092",
1221,SIL,Standard Industries Limited,"6,079",
1222,WINDMACHIN,Windsor Machines Limited,"6,071",
1223,SAKETH,Saketh Exim Limited,"6,028",
1224,VIVIMEDLAB,Vivimed Labs Limited,"6,011",
1225,WFL,Wonder Fibromats Limited,"5,968",
1226,IVC,IL&FS Investment Managers Limited,"5,967",
1227,AMJLAND,Amj Land Holdings Limited,"5,945",
1228,AHLADA,Ahlada Engineers Limited,"5,898",
1229,PARIN,Parin Furniture Limited,"5,893",
1230,KRITIKA,Kritika Wires Limited,"5,876",
1231,LOVABLE,Lovable Lingerie Limited,"5,868",
1232,PASHUPATI,Pashupati Cotspin Limited,"5,862",
1233,BDR,BDR Buildcon Limited,"5,824",
1234,GOODLUCK,Goodluck India Limited,"5,809",
1235,KMSUGAR,K.M.Sugar Mills Limited,"5,796",
1236,UNIVPHOTO,Universus Photo Imagings Limited,"5,763",
1237,ADHUNIKIND,Adhunik Industries Limited,"5,752",
1238,RUCHI,Ruchi Soya Industries Limited,"5,748",
1239,NITIRAJ,Nitiraj Engineers Limited,"5,684",
1240,HUBTOWN,Hubtown Limited,"5,673",
1241,TRF,TRF Limited,"5,645",
1242,TOKYOPLAST,Tokyo Plast International Limited,"5,630",
1243,RPPL,Rajshree Polypack Limited,"5,617",
1244,ANSALAPI,Ansal Properties & Infrastructure Limited,"5,588",
1245,ELGIRUBCO,Elgi Rubber Company Limited,"5,556",
1246,A2ZINFRA,A2Z Infra Engineering Limited,"5,548",
1247,URAVI,Uravi T and Wedge Lamps Limited,"5,506",
1248,VETO,Veto Switchgears And Cables Limited,"5,505",
1249,SRPL,Shree Ram Proteins Limited,"5,505",
1250,JMA,Jullundur Motor Agency (Delhi) Limited,"5,501",
1251,LIBAS,Libas Designs Limited,"5,451",
1252,PARSVNATH,Parsvnath Developers Limited,"5,440",
1253,PANACHE,Panache Digilife Limited,"5,406",
1254,SMSLIFE,SMS Lifesciences India Limited,"5,404",
1255,BPL,BPL Limited,"5,402",
1256,OSWALAGRO,Oswal Agro Mills Limited,"5,369",
1257,SUULD,Suumaya Lifestyle Limited,"5,354",
1258,MITCON,MITCON Consultancy & Engineering Services Limited,"5,348",
1259,CINELINE,Cineline India Limited,"5,250",
1260,REFEX,Refex Industries Limited,"5,231",
1261,ICEMAKE,Ice Make Refrigeration Limited,"5,211",
1262,ARIES,Aries Agro Limited,"5,202",
1263,GEEKAYWIRE,Geekay Wires Limited,"5,200",
1264,COMPINFO,Compuage Infocom Limited,"5,198",
1265,WELINV,Welspun Investments and Commercials Limited,"5,193",
1266,KECL,Kirloskar Electric Company Limited,"5,147",
1267,TOUCHWOOD,Touchwood Entertainment Limited,"5,091",
1268,URJA,Urja Global Limited,"5,072",
1269,PGEL,PG Electroplast Limited,"5,037",
1270,BHARATWIRE,Bharat Wire Ropes Limited,"5,035",
1271,MTEDUCARE,MT Educare Limited,"5,020",
1272,GLOBALVECT,Global Vectra Helicorp Limited,"5,019",
1273,OPTOCIRCUI,Opto Circuits (India) Limited,"4,960",
1274,FMNL,Future Market Networks Limited,"4,949",
1275,NOIDATOLL,Noida Toll Bridge Company Limited,"4,934",
1276,RANASUG,Rana Sugars Limited,"4,914",
1277,TPLPLASTEH,TPL Plastech Limited,"4,899",
1278,AKSHOPTFBR,Aksh Optifibre Limited,"4,881",
1279,MANGALAM,Mangalam Drugs And Organics Limited,"4,820",
1280,SIGIND,Signet Industries Limited,"4,813",
1281,SITINET,Siti Networks Limited,"4,796",
1282,LOTUSEYE,Lotus Eye Hospital and Institute Limited,"4,762",
1283,PPL,Prakash Pipes Limited,"4,757",
1284,ARROWGREEN,Arrow Greentech Limited,"4,734",
1285,TARACHAND,Tara Chand Logistic Solutions Limited,"4,728",
1286,MOTOGENFIN,The Motor & General Finance Limited,"4,715",
1287,UJAAS,Ujaas Energy Limited,"4,701",
1288,REPL,Rudrabhishek Enterprises Limited,"4,700",
1289,ANDHRACEMT,Andhra Cements Limited,"4,696",
1290,VIDEOIND,Videocon Industries Limited,"4,682",
1291,MRO,M.R. Organisation Limited,"4,651",
1292,JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,"4,598",
1293,BHAGYANGR,Bhagyanagar India Limited,"4,575",
1294,AGARIND,Agarwal Industrial Corporation Limited,"4,560",
1295,BALLARPUR,Ballarpur Industries Limited,"4,527",
1296,BALPHARMA,Bal Pharma Limited,"4,521",
1297,MURUDCERA,Murudeshwar Ceramics Limited,"4,520",
1298,DCMNVL,DCM Nouvelle Limited,"4,464",
1299,CLEDUCATE,CL Educate Limited,"4,413",
1300,WANBURY,Wanbury Limited,"4,341",
1301,SHYAMCENT,Shyam Century Ferrous Limited,"4,332",
1302,SUMIT,Sumit Woods Limited,"4,313",
1303,GINNIFILA,Ginni Filaments Limited,"4,310",
1304,PIONEEREMB,Pioneer Embroideries Limited,"4,290",
1305,JMTAUTOLTD,JMT Auto Limited,"4,283",
1306,BIRLATYRE,Birla Tyres Limited,"4,278",
1307,GILLANDERS,Gillanders Arbuthnot & Company Limited,"4,268",
1308,HPIL,Hindprakash Industries Limited,"4,263",
1309,MANAKSTEEL,Manaksia Steels Limited,"4,260",
1310,VERA,Vera Synthetic Limited,"4,234",
1311,VAISHALI,Vaishali Pharma Limited,"4,224",
1312,GPTINFRA,GPT Infraprojects Limited,"4,203",
1313,UNIVASTU,Univastu India Limited,"4,142",
1314,OMAXAUTO,Omax Autos Limited,"4,125",
1315,ASHIMASYN,Ashima Limited,"4,111",
1316,SPTL,Sintex Plastics Technology Limited,"4,102",
1317,KAMATHOTEL,Kamat Hotels (I) Limited,"4,092",
1318,WEIZMANIND,Weizmann Limited,"4,076",
1319,PREMIERPOL,Premier Polyfilm Limited,"4,074",
1320,MUKTAARTS,Mukta Arts Limited,"4,065",
1321,PENTAGOLD,Penta Gold Limited,"4,059",
1322,LGBFORGE,LGB Forge Limited,"4,049",
1323,NDGL,Naga Dhunseri Group Limited,"4,046",
1324,BIGBLOC,Bigbloc Construction Limited,"4,035",
1325,DAMODARIND,Damodar Industries Limited,"4,005",
1326,PANSARI,Pansari Developers Limited,"4,004",
1327,RAJSREESUG,Rajshree Sugars & Chemicals Limited,"3,972",
1328,IL&FSTRANS,IL&FS Transportation Networks Limited,"3,948",
1329,ALMONDZ,Almondz Global Securities Limited,"3,935",
1330,SONAMCLOCK,Sonam Clock Limited,"3,878",
1331,MBECL,Mcnally Bharat Engineering Company Limited,"3,873",
1332,SINTEX,Sintex Industries Limited,"3,862",
1333,BETA,Beta Drugs Limited,"3,846",
1334,INDIANCARD,Indian Card Clothing Company Limited,"3,823",
1335,MALUPAPER,Malu Paper Mills Limited,"3,804",
1336,BROOKS,Brooks Laboratories Limited,"3,767",
1337,MARALOVER,Maral Overseas Limited,"3,736",
1338,SICAL,Sical Logistics Limited,"3,716",
1339,SHAIVAL,Shaival Reality Limited,"3,715",
1340,TAINWALCHM,Tainwala Chemical and Plastic (I) Limited,"3,708",
1341,RUCHINFRA,Ruchi Infrastructure Limited,"3,694",
1342,SUPREMEENG,Supreme Engineering Limited,"3,662",
1343,WIPL,The Western India Plywoods Limited,"3,650",
1344,DEVIT,Dev Information Technology Limited,"3,644",
1345,MINDTECK,Mindteck (India) Limited,"3,638",
1346,RHFL,Reliance Home Finance Limited,"3,634",
1347,SOFTTECH,Softtech Engineers Limited,"3,609",
1348,WEBELSOLAR,Websol Energy System Limited,"3,599",
1349,AUSOMENT,Ausom Enterprise Limited,"3,590",
1350,ISMTLTD,ISMT Limited,"3,589",
1351,LYKALABS,Lyka Labs Limited,"3,586",
1352,SICAGEN,Sicagen India Limited,"3,581",
1353,BAGFILMS,B.A.G Films and Media Limited,"3,559",
1354,HEXATRADEX,Hexa Tradex Limited,"3,536",
1355,BYKE,The Byke Hospitality Ltd,"3,529",
1356,OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,"3,506",
1357,ROLTA,Rolta India Limited,"3,484",
1358,GOLDENTOBC,Golden Tobacco Limited,"3,469",
1359,IVP,IVP Limited,"3,433",
1360,MACPOWER,Macpower CNC Machines Limited,"3,433",
1361,MDL,Marvel Decor Limited,"3,408",
1362,ARCHIDPLY,Archidply Industries Limited,"3,398",
1363,VIPCLOTHNG,VIP Clothing Limited,"3,386",
1364,KHFM,Khfm Hospitality And Facility Management Services Limited,"3,385",
1365,JHS,JHS Svendgaard Laboratories Limited,"3,363",
1366,AAKASH,Aakash Exploration Services Limited,"3,356",
1367,SOUTHWEST,South West Pinnacle Exploration Limited,"3,320",
1368,VINNY,Vinny Overseas Limited,"3,301",
1369,PRAENG,Prajay Engineers Syndicate Limited,"3,287",
1370,ONEPOINT,One Point One Solutions Limited,"3,285",
1371,KWALITY,kwality limited,"3,258",
1372,SURANAT&P,Surana Telecom and Power Limited,"3,258",
1373,GSS,GSS Infotech Limited,"3,226",
1374,BEDMUTHA,Bedmutha Industries Limited,"3,226",
1375,INTENTECH,Intense Technologies Limited,"3,223",
1376,KALYANIFRG,Kalyani Forge Limited,"3,201",
1377,ARTNIRMAN,Art Nirman Limited,"3,196",
1378,AURDIS,Aurangabad Distillery Limited,"3,194",
1379,RAMASTEEL,Rama Steel Tubes Limited,"3,191",
1380,CORDSCABLE,Cords Cable Industries Limited,"3,167",
1381,LSIL,Lloyds Steels Industries Limited,"3,144",
1382,AARVI,Aarvi Encon Limited,"3,134",
1383,VISASTEEL,Visa Steel Limited,"3,126",
1384,AMBANIORG,Ambani Organics Limited,"3,106",
1385,AVG,AVG Logistics Limited,"3,089",
1386,PRESSMN,Pressman Advertising Limited,"3,088",
1387,ISFT,Intrasoft Technologies Limited,"3,086",
1388,VIKASECO,Vikas EcoTech Limited,"3,079",
1389,SECL,Salasar Exteriors and Contour Limited,"3,047",
1390,RSSOFTWARE,R. S. Software (India) Limited,"3,034",
1391,GROBTEA,The Grob Tea Company Limited,"3,013",
1392,CMICABLES,CMI Limited,"2,998",
1393,SUNDARAM,Sundaram Multi Pap Limited,"2,988",
1394,MKPL,M K Proteins Limited,"2,978",
1395,REMSONSIND,Remsons Industries Limited,"2,977",
1396,ARCHIES,Archies Limited,"2,973",
1397,OISL,OCL Iron and Steel Limited,"2,951",
1398,CCHHL,Country Club Hospitality & Holidays Limited,"2,942",
1399,ALPA,Alpa Laboratories Limited,"2,914",
1400,HOVS,HOV Services Limited,"2,883",
1401,AROGRANITE,Aro Granite Industries Limited,"2,876",
1402,PUNJLLOYD,Punj Lloyd Limited,"2,853",
1403,COMPUSOFT,Compucom Software Limited,"2,849",
1404,CIMMCO,Cimmco Limited,"2,844",
1405,MBLINFRA,MBL Infrastructures Limited,"2,828",
1406,MOKSH,Moksh Ornaments Limited,"2,817",
1407,MORARJEE,Morarjee Textiles Limited,"2,816",
1408,CINEVISTA,Cinevista Limited,"2,814",
1409,TIRUPATIFL,Tirupati Forge Limited,"2,776",
1410,ROLLT,Rollatainers Limited,"2,751",
1411,CTE,Cambridge Technology Enterprises Limited,"2,739",
1412,LOKESHMACH,Lokesh Machines Limited,"2,720",
1413,TOTAL,Total Transport Systems Limited,"2,718",
1414,VENUSREM,Venus Remedies Limited,"2,715",
1415,ASCOM,Ascom Leasing & Investments Limited,"2,714",
1416,STEELCITY,Steel City Securities Limited,"2,712",
1417,SILGO,Silgo Retail Limited,"2,700",
1418,OPAL,Opal Luxury Time Products Limited,"2,687",
1419,RELIABLE,Reliable Data Services Limited,"2,683",
1420,SURANASOL,Surana Solar Limited,"2,682",
1421,AUTOIND,Autoline Industries Limited,"2,635",
1422,GLOBE,Globe Textiles (India) Limited,"2,620",
1423,ARVEE,Arvee Laboratories (India) Limited,"2,590",
1424,PRECOT,Precot Meridian Limited,"2,574",
1425,SILLYMONKS,Silly Monks Entertainment Limited,"2,573",
1426,DUCON,Ducon Infratechnologies Limited,"2,565",
1427,FCSSOFT,FCS Software Solutions Limited,"2,564",
1428,TARMAT,Tarmat Limited,"2,559",
1429,ALKALI,Alkali Metals Limited,"2,556",
1430,SARVESHWAR,Sarveshwar Foods Limited,"2,518",
1431,PRITI,Priti International Limited,"2,517",
1432,DCM,DCM  Limited,"2,503",
1433,DBSTOCKBRO,DB (International) Stock Brokers Limited,"2,450",
1434,DGCONTENT,Digicontent Limited,"2,444",
1435,GOLDSTAR,Goldstar Power Limited,"2,423",
1436,BANKA,Banka BioLoo Limited,"2,410",
1437,SURYALAXMI,Suryalakshmi Cotton Mills Limited,"2,409",
1438,HECPROJECT,HEC Infra Projects Limited,"2,398",
1439,SAMBHAAV,Sambhaav Media Limited,"2,389",
1440,RMCL,Radha Madhav Corporation Limited,"2,374",
1441,BHARATGEAR,Bharat Gears Limited,"2,373",
1442,AIROLAM,Airo Lam limited,"2,370",
1443,GAMMNINFRA,Gammon Infrastructure Projects Limited,"2,355",
1444,DCI,DC Infotech and Communication Limited,"2,340",
1445,MEGASOFT,Megasoft Limited,"2,324",
1446,TIRUPATI,Shree Tirupati Balajee FIBC Limited,"2,310",
1447,IL&FSENGG,IL&FS Engineering and Construction Company Limited,"2,295",
1448,ARSSINFRA,ARSS Infrastructure Projects Limited,"2,274",
1449,SONAHISONA,Sona Hi Sona Jewellers (Gujarat) Limited,"2,266",
1450,CONTI,Continental Seeds and Chemicals Limited,"2,266",
1451,HISARMETAL,Hisar Metal Industries Limited,"2,230",
1452,SHRADHA,Shradha Infraprojects Limited,"2,218",
1453,ATLANTA,Atlanta  Limited,"2,201",
1454,INDBANK,Indbank Merchant Banking Services Limited,"2,197",
1455,MANUGRAPH,Manugraph India Limited,"2,190",
1456,GARDENSILK,Garden Silk Mills Limited,"2,188",
1457,AKG,Akg Exim Limited,"2,185",
1458,PEARLPOLY,Pearl Polymers Limited,"2,180",
1459,SHREERAMA,Shree Rama Multi-Tech Limited,"2,180",
1460,GODHA,Godha Cabcon & Insulation Limited,"2,176",
1461,NEXTMEDIA,Next Mediaworks Limited,"2,174",
1462,SUPREMEINF,Supreme Infrastructure India Limited,"2,172",
